id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id3701949,2,2016/5/10 0:26,2016/5/10 0:34,6,-73.9927063,40.7305603,-74.01418304,40.71744156,N,458
id0762947,1,2016/5/10 0:27,2016/5/10 0:45,1,-73.87322998,40.77420425,-73.97293091,40.75526047,N,1089
id3674710,2,2016/5/10 0:27,2016/5/10 0:35,1,-73.98042297,40.7487793,-73.96799469,40.75801849,N,464
id3197967,1,2016/5/10 0:28,2016/5/10 0:46,1,-73.79014587,40.64715958,-73.73981476,40.70870972,N,1124
id1461320,2,2016/5/10 0:30,2016/5/10 0:38,1,-73.97914886,40.76157379,-73.95277405,40.77865982,N,509
id0877108,1,2016/5/10 0:30,2016/5/10 1:20,1,-73.99395752,40.75030518,-73.88239288,40.65352631,N,2980
id1823096,1,2016/5/10 0:31,2016/5/10 0:50,1,-73.98487854,40.76068115,-73.93818665,40.82121277,N,1155
id3044910,2,2016/5/10 0:31,2016/5/10 0:48,1,-73.99002838,40.71895981,-73.94528961,40.68680954,N,1063
id2891873,2,2016/5/10 0:31,2016/5/10 0:33,5,-74.00318909,40.72666931,-74.00219727,40.73643875,N,129
id3954183,2,2016/5/10 0:31,2016/5/10 0:41,1,-73.95297241,40.77588654,-73.9810257,40.76486206,N,552
id3090122,1,2016/5/10 0:32,2016/5/10 1:02,1,-73.98142242,40.724823,-73.92280579,40.83887482,N,1853
id3565954,1,2016/5/10 0:33,2016/5/10 0:57,1,-73.96868134,40.75440979,-73.85478973,40.75375366,N,1452
id1912935,1,2016/5/10 0:34,2016/5/10 1:02,2,-73.780159,40.66718674,-73.92498779,40.74491882,N,1646
id0973346,1,2016/5/10 0:35,2016/5/10 0:43,1,-73.98273468,40.76620483,-73.98323059,40.74990845,N,531
id3365188,1,2016/5/10 0:36,2016/5/10 0:42,1,-73.96863556,40.76409149,-73.9634552,40.75590897,N,389
id3001700,2,2016/5/10 0:36,2016/5/10 0:48,5,-73.98739624,40.75019836,-73.97132111,40.78635788,N,723
id1224636,1,2016/5/10 0:37,2016/5/10 0:37,1,-73.99481964,40.75545502,-73.99481964,40.7554512,N,5
id1620443,2,2016/5/10 0:37,2016/5/10 0:49,3,-73.93688965,40.75469971,-73.94396973,40.72174835,N,706
id2804924,1,2016/5/10 0:37,2016/5/10 0:42,1,-73.96078491,40.76947403,-73.94190216,40.7953186,N,321
id0020386,1,2016/5/10 0:37,2016/5/10 0:59,1,-73.97473907,40.75008774,-73.90026093,40.74267197,N,1324
id3152973,2,2016/5/10 0:37,2016/5/10 0:59,5,-73.98799896,40.74399948,-73.99160004,40.71892929,N,1330
id3138940,2,2016/5/10 0:39,2016/5/10 0:46,2,-73.99220276,40.74975967,-73.97953033,40.73324966,N,463
id3311260,1,2016/5/10 0:39,2016/5/10 0:49,5,-73.98944092,40.76058578,-74.0010376,40.7364006,N,589
id0027349,2,2016/5/10 0:39,2016/5/10 0:55,1,-73.98188019,40.76867294,-73.96062469,40.79994583,N,940
id1790944,1,2016/5/10 0:40,2016/5/10 0:44,1,-73.98780823,40.72835159,-73.99098206,40.71826553,N,226
id3873343,2,2016/5/10 0:41,2016/5/10 1:04,1,-73.99310303,40.74129105,-73.92134857,40.86796188,N,1408
id1381335,2,2016/5/10 0:41,2016/5/10 0:46,6,-73.99719238,40.72211075,-73.99060822,40.73477936,N,266
id2492234,1,2016/5/10 0:42,2016/5/10 0:47,1,-73.96523285,40.75920486,-73.97550964,40.73311234,N,353
id3436001,1,2016/5/10 0:42,2016/5/10 0:51,1,-73.97257996,40.75291443,-73.9900589,40.75605392,N,554
id2341797,2,2016/5/10 0:42,2016/5/10 1:00,1,-73.97961426,40.76577377,-73.91950226,40.80771255,N,1074
id0892562,2,2016/5/10 0:42,2016/5/10 0:48,1,-73.98527527,40.71923828,-73.98921967,40.73013687,N,342
id2570530,2,2016/5/10 0:43,2016/5/10 0:47,6,-73.99150085,40.72990417,-74.00390625,40.71734619,N,257
id1382101,1,2016/5/10 0:44,2016/5/10 0:59,1,-74.00783539,40.71503067,-74.01501465,40.64424515,N,878
id2854848,2,2016/5/10 0:45,2016/5/10 1:04,1,-73.95410156,40.76390076,-73.89510345,40.86146927,N,1144
id2829680,2,2016/5/10 0:45,2016/5/10 1:02,2,-73.78177643,40.64474106,-73.813591,40.78123093,N,1034
id3267430,2,2016/5/10 0:45,2016/5/10 0:49,5,-73.95223999,40.7899704,-73.97019958,40.78929901,N,263
id0149245,2,2016/5/10 0:47,2016/5/10 1:11,1,-73.96907806,40.76422119,-73.90288544,40.88939285,N,1446
id3742497,1,2016/5/10 0:47,2016/5/10 0:57,2,-73.99647522,40.72558975,-73.99455261,40.69796371,N,634
id0832436,2,2016/5/10 0:48,2016/5/10 0:57,1,-73.99362183,40.721138,-74.00421143,40.74262238,N,562
id3666873,1,2016/5/10 0:48,2016/5/10 1:01,1,-73.97058105,40.75933075,-73.95648193,40.74604034,N,739
id2581746,2,2016/5/10 0:49,2016/5/10 1:01,1,-73.98613739,40.74591827,-74.01178741,40.71799469,N,734
id2401614,1,2016/5/10 0:49,2016/5/10 1:24,1,-73.96256256,40.71973038,-73.96834564,40.80265045,N,2084
id0610887,2,2016/5/10 0:50,2016/5/10 1:18,1,-74.00301361,40.72562027,-73.94911194,40.80437851,N,1680
id1471830,1,2016/5/10 0:50,2016/5/10 0:57,2,-73.95188141,40.79041672,-73.92494202,40.8183136,N,456
id3864500,2,2016/5/10 0:50,2016/5/10 1:03,1,-73.95129395,40.77269363,-73.98712921,40.71518707,N,786
id1508688,2,2016/5/10 0:50,2016/5/10 1:04,1,-73.98108673,40.76270676,-73.99623871,40.72215271,N,842
id1018902,2,2016/5/10 0:50,2016/5/10 1:03,6,-73.98277283,40.74954987,-73.98911285,40.77429962,N,767
id2026058,1,2016/5/10 0:51,2016/5/10 0:58,1,-73.9928894,40.74128342,-74.00232697,40.72472763,N,411
id2621050,2,2016/5/10 0:52,2016/5/10 0:57,6,-73.97818756,40.75680542,-73.98376465,40.74616623,N,306
id1032896,2,2016/5/10 0:52,2016/5/10 0:55,1,-73.98703003,40.73370361,-73.97704315,40.74731445,N,162
id3562735,2,2016/5/10 0:53,2016/5/10 0:59,1,-73.99706268,40.72388077,-73.99929047,40.74263,N,384
id2911633,2,2016/5/10 0:53,2016/5/10 1:25,1,-73.78186798,40.6447258,-74.01459503,40.70981979,N,1948
id3304021,2,2016/5/10 0:54,2016/5/10 1:10,1,-73.99916077,40.72838593,-73.98581696,40.78046799,N,929
id3095865,1,2016/5/10 0:56,2016/5/10 1:08,3,-73.98743439,40.74158096,-74.00832367,40.7327919,N,712
id0646092,1,2016/5/10 0:59,2016/5/10 1:04,1,-73.99680328,40.71480179,-73.98455811,40.703125,N,339
id0374021,1,2016/5/10 0:59,2016/5/10 1:05,1,-73.99581146,40.76702118,-73.98129272,40.76402283,N,315
id0993420,2,2016/5/10 1:00,2016/5/10 1:07,1,-73.97483063,40.76218414,-73.9914856,40.74981689,N,432
id1660564,1,2016/5/10 1:01,2016/5/10 1:30,4,-73.99848938,40.74530411,-73.87201691,40.74890518,N,1751
id1512145,2,2016/5/10 1:02,2016/5/10 1:28,2,-73.99825287,40.72338867,-73.9626236,40.6632309,N,1547
id3695593,1,2016/5/10 1:02,2016/5/10 1:10,1,-73.97720337,40.77957153,-73.99726105,40.75543594,N,457
id3709192,2,2016/5/10 1:03,2016/5/10 1:08,1,-73.97093964,40.75580978,-73.98339081,40.76594162,N,292
id3699524,2,2016/5/10 1:03,2016/5/10 1:08,1,-74.00933838,40.73804092,-74.00572968,40.73336029,N,265
id2861616,2,2016/5/10 1:04,2016/5/10 1:27,6,-73.97213745,40.76441193,-73.82124329,40.75982666,N,1377
id3129263,1,2016/5/10 1:04,2016/5/10 1:16,1,-73.99617004,40.73881531,-73.96172333,40.77122116,N,699
id1450858,1,2016/5/10 1:05,2016/5/10 1:11,1,-73.99597931,40.74870682,-73.9912262,40.77028656,N,342
id0914551,2,2016/5/10 1:06,2016/5/10 1:22,1,-73.98206329,40.71894073,-73.93967438,40.70397186,N,1004
id2625161,2,2016/5/10 1:06,2016/5/10 1:17,6,-74.00681305,40.73561859,-73.98673248,40.76130676,N,655
id3212819,1,2016/5/10 1:06,2016/5/10 1:17,1,-73.99925995,40.7387085,-73.98869324,40.77407455,N,652
id1353635,1,2016/5/10 1:06,2016/5/10 1:09,1,-73.94641113,40.78910065,-73.94589996,40.78481674,N,179
id3251409,2,2016/5/10 1:07,2016/5/10 1:34,1,-74.00669861,40.74419022,-73.95702362,40.74454117,N,1621
id3030159,2,2016/5/10 1:07,2016/5/10 1:16,1,-73.97512817,40.78237152,-73.96152496,40.7959938,N,517
id1328533,1,2016/5/10 1:08,2016/5/10 1:13,1,-73.98551178,40.72325516,-73.99266815,40.71334839,N,268
id1245328,1,2016/5/10 1:10,2016/5/10 1:13,3,-73.98969269,40.74528503,-73.99217987,40.74916077,N,187
id1029026,1,2016/5/10 1:11,2016/5/10 1:26,2,-73.98835754,40.75585175,-74.00172424,40.71970749,N,891
id0154213,1,2016/5/10 1:11,2016/5/10 1:15,1,-73.98509216,40.75920868,-73.97325134,40.76476288,N,247
id0520286,2,2016/5/10 1:16,2016/5/10 1:22,1,-73.9835968,40.76567078,-73.9695816,40.78963852,N,382
id3845484,1,2016/5/10 1:16,2016/5/10 1:19,1,-74.00387573,40.74311447,-74.00272369,40.73978806,N,124
id1584131,2,2016/5/10 1:17,2016/5/10 1:20,1,-73.97782135,40.75278091,-73.99043274,40.75124741,N,207
id3126437,1,2016/5/10 1:17,2016/5/10 1:32,1,-73.97999573,40.6821785,-73.97986603,40.6194725,N,887
id3383605,2,2016/5/10 1:17,2016/5/10 1:22,4,-73.99337006,40.72016907,-74.00473022,40.71881866,N,302
id1016684,2,2016/5/10 1:17,2016/5/10 1:30,5,-73.99778748,40.71404648,-73.98876953,40.75876999,N,747
id1155158,1,2016/5/10 1:17,2016/5/10 1:24,1,-73.93748474,40.8044014,-73.95623016,40.77638626,N,384
id3831886,2,2016/5/10 1:18,2016/5/10 1:25,1,-73.9817276,40.7580452,-74.00164032,40.74573517,N,409
id2120767,2,2016/5/10 1:18,2016/5/10 1:28,1,-73.98325348,40.72216034,-74.00411224,40.71691895,N,549
id0194686,2,2016/5/10 1:19,2016/5/10 1:25,1,-73.98693085,40.72929001,-74.00244141,40.72898865,N,358
id2438399,1,2016/5/10 1:20,2016/5/10 1:34,2,-74.01028442,40.70507813,-73.98239899,40.6592598,N,834
id0737686,1,2016/5/10 1:21,2016/5/10 1:31,1,-74.00125122,40.73110199,-73.9749527,40.71973419,N,562
id3040789,1,2016/5/10 1:21,2016/5/10 1:44,1,-73.99266815,40.74288177,-73.99871826,40.65937805,N,1332
id2728673,2,2016/5/10 1:23,2016/5/10 1:27,1,-73.98565674,40.74420929,-73.98571014,40.74433136,N,259
id2189990,1,2016/5/10 1:24,2016/5/10 1:38,1,-73.98368835,40.72613144,-73.94827271,40.78950882,N,876
id0337618,1,2016/5/10 1:24,2016/5/10 1:36,1,-74.00914001,40.70416641,-73.98804474,40.73217392,N,713
id3484561,1,2016/5/10 1:25,2016/5/10 1:28,1,-73.98304749,40.77168274,-73.9931488,40.75763321,N,223
id0824357,1,2016/5/10 1:26,2016/5/10 1:32,1,-73.98924255,40.75803375,-73.97588348,40.74477386,N,386
id1667719,2,2016/5/10 1:27,2016/5/10 1:48,1,-73.99662781,40.74279022,-73.96609497,40.80479813,N,1227
id3989770,2,2016/5/10 1:28,2016/5/10 1:43,1,-73.98872375,40.72713852,-73.91777802,40.74296188,N,894
id3818816,1,2016/5/10 1:28,2016/5/10 1:31,1,-73.96871185,40.76428604,-73.96821594,40.76000977,N,174
id2957675,1,2016/5/10 1:28,2016/5/10 1:36,1,-73.98530579,40.75807571,-73.97949219,40.73821259,N,494
id0994557,2,2016/5/10 1:29,2016/5/10 1:33,2,-73.96864319,40.7575798,-73.95973969,40.76694107,N,288
id0931013,1,2016/5/10 1:31,2016/5/10 1:32,1,-73.98480225,40.74965668,-73.99061584,40.75114059,N,65
id1262972,1,2016/5/10 1:31,2016/5/10 1:40,1,-73.99048615,40.76150131,-74.00070953,40.73157883,N,549
id2393421,2,2016/5/10 1:32,2016/5/10 1:34,1,-73.99060822,40.71942902,-73.99713898,40.72222137,N,118
id2228914,1,2016/5/10 1:33,2016/5/10 1:42,1,-73.98806763,40.71881866,-74.00547791,40.70904541,N,514
id2939858,1,2016/5/10 1:34,2016/5/10 1:36,1,-73.95204926,40.7687149,-73.95697021,40.76213837,N,116
id0116713,1,2016/5/10 1:35,2016/5/10 1:45,1,-73.95420074,40.76404953,-73.94415283,40.80092621,N,647
id1027360,2,2016/5/10 1:36,2016/5/10 1:56,5,-73.98474884,40.73670959,-73.93569946,40.69947052,N,1202
id3622891,2,2016/5/10 1:36,2016/5/10 1:43,1,-73.97517395,40.75254822,-73.98538971,40.72914124,N,398
id3912300,2,2016/5/10 1:36,2016/5/10 1:49,6,-73.98654175,40.7618103,-73.94226837,40.82889175,N,796
id2731284,2,2016/5/10 1:37,2016/5/10 1:48,2,-73.95828247,40.71348953,-73.92603302,40.70336533,N,619
id1961533,1,2016/5/10 1:38,2016/5/10 1:46,1,-73.91567993,40.74322891,-73.88290405,40.74289703,N,478
id3195805,2,2016/5/10 1:38,2016/5/10 2:01,1,-74.00052643,40.72980881,-73.94998169,40.74856949,N,1339
id3292084,2,2016/5/10 1:39,2016/5/10 1:58,6,-73.98957825,40.75746155,-73.95902252,40.71667099,N,1167
id3347349,2,2016/5/10 1:39,2016/5/10 1:47,1,-73.99956512,40.71943283,-73.99150085,40.74908447,N,492
id3418585,1,2016/5/10 1:40,2016/5/10 1:49,2,-74.00485229,40.73022079,-73.9787674,40.76498413,N,588
id1992464,1,2016/5/10 1:41,2016/5/10 1:47,4,-74.01360321,40.70936584,-74.00675964,40.70767593,N,350
id0817042,1,2016/5/10 1:42,2016/5/10 1:51,2,-73.98635864,40.7476387,-73.97380066,40.73795319,N,499
id2311256,2,2016/5/10 1:43,2016/5/10 1:58,1,-73.99089813,40.73483658,-73.92965698,40.70199966,N,955
id2772377,2,2016/5/10 1:43,2016/5/10 2:01,1,-73.99952698,40.7283783,-73.98278809,40.66418076,N,1128
id2575434,2,2016/5/10 1:43,2016/5/10 1:46,3,-74.00508881,40.72806931,-73.99638367,40.72206116,N,187
id2524013,1,2016/5/10 1:43,2016/5/10 1:52,1,-73.98838806,40.75885391,-73.96221161,40.76070023,N,512
id3300869,1,2016/5/10 1:43,2016/5/10 2:20,2,-73.99002075,40.73791122,-73.90776062,40.70783615,N,2215
id1224344,2,2016/5/10 1:44,2016/5/10 2:13,1,-73.96708679,40.7666893,-73.91027069,40.69419098,N,1783
id2739112,1,2016/5/10 1:44,2016/5/10 2:06,1,-73.97769928,40.74904633,-73.78324127,40.64383698,N,1291
id3692379,2,2016/5/10 1:45,2016/5/10 1:52,5,-73.99125671,40.71474075,-73.95198822,40.70738602,N,462
id1347045,2,2016/5/10 1:45,2016/5/10 2:05,3,-73.98833466,40.73724365,-73.98117828,40.65943146,N,1206
id1424503,2,2016/5/10 1:46,2016/5/10 1:50,1,-73.98844147,40.72742844,-73.97411346,40.74491882,N,266
id3410217,2,2016/5/10 1:47,2016/5/10 2:06,1,-74.00675201,40.73049927,-73.9650116,40.76866913,N,1120
id0355982,1,2016/5/10 1:47,2016/5/10 1:51,1,-73.98283386,40.76768875,-73.98432159,40.76512527,N,238
id3318792,2,2016/5/10 1:49,2016/5/10 1:58,1,-73.98921204,40.72682571,-74.00613403,40.73313522,N,536
id0916259,2,2016/5/10 1:49,2016/5/10 1:56,1,-73.8447113,40.7220192,-73.81604767,40.73037338,N,432
id0607603,1,2016/5/10 1:50,2016/5/10 1:56,1,-73.98500061,40.72789001,-73.98780823,40.74396896,N,323
id1131935,2,2016/5/10 1:51,2016/5/10 2:04,1,-73.99298096,40.74806595,-73.98959351,40.75245667,N,827
id1293485,2,2016/5/10 1:51,2016/5/10 1:57,1,-73.97338104,40.75490189,-73.9758606,40.73477936,N,358
id3554651,2,2016/5/10 1:51,2016/5/10 2:10,5,-73.79039001,40.64672089,-73.97429657,40.74657059,N,1132
id0605475,1,2016/5/10 1:53,2016/5/10 2:06,1,-73.9940567,40.75094223,-73.9723053,40.79317474,N,765
id0145244,2,2016/5/10 1:53,2016/5/10 1:57,2,-73.96498108,40.75979996,-73.97441101,40.75291061,N,197
id3645879,2,2016/5/10 1:54,2016/5/10 2:06,1,-73.99443054,40.76091003,-73.94493103,40.79969025,N,744
id2698857,1,2016/5/10 1:54,2016/5/10 1:58,1,-73.98892212,40.72710037,-73.99578857,40.72673035,N,230
id0542021,2,2016/5/10 1:56,2016/5/10 2:17,6,-73.99320984,40.72949982,-73.91662598,40.68019104,N,1251
id0246706,1,2016/5/10 1:56,2016/5/10 2:19,1,-73.99986267,40.71929169,-73.96735382,40.68543243,N,1360
id3033952,1,2016/5/10 1:57,2016/5/10 2:07,1,-73.96466064,40.75589752,-73.93439484,40.801754,N,589
id0166191,2,2016/5/10 1:58,2016/5/10 2:20,1,-74.00318146,40.7388916,-73.96521759,40.80363846,N,1331
id2056157,2,2016/5/10 1:59,2016/5/10 2:10,1,-73.98766327,40.74777985,-73.9781723,40.72074127,N,619
id1184315,1,2016/5/10 2:00,2016/5/10 2:03,1,-73.98342896,40.73442459,-73.97978973,40.74356461,N,194
id2307041,1,2016/5/10 2:01,2016/5/10 2:08,1,-73.98329926,40.76076889,-73.97987366,40.78607559,N,418
id2276966,2,2016/5/10 2:01,2016/5/10 2:16,1,-73.98778534,40.7195015,-73.93842316,40.68491745,N,888
id1890090,2,2016/5/10 2:04,2016/5/10 2:09,4,-73.9671402,40.7565918,-73.98241425,40.73036957,N,259
id1488662,1,2016/5/10 2:04,2016/5/10 2:15,1,-73.9678421,40.75960541,-73.92160797,40.76697922,N,641
id1187909,2,2016/5/10 2:05,2016/5/10 2:15,1,-73.88630676,40.74455643,-73.91191864,40.74728394,N,566
id2386894,1,2016/5/10 2:06,2016/5/10 2:23,1,-74.00378418,40.7382164,-73.9562912,40.80835724,N,1008
id3219300,1,2016/5/10 2:06,2016/5/10 2:14,1,-73.95355225,40.77550125,-73.94138336,40.79947281,N,461
id1617599,1,2016/5/10 2:07,2016/5/10 2:18,1,-74.00995636,40.72079086,-73.99081421,40.73064041,N,681
id2851034,1,2016/5/10 2:08,2016/5/10 2:26,2,-74.00984955,40.7353096,-73.96567535,40.80058289,N,1113
id2365887,2,2016/5/10 2:08,2016/5/10 2:12,2,-73.98092651,40.77447891,-73.96575165,40.76541901,N,271
id0670719,2,2016/5/10 2:08,2016/5/10 2:15,1,-73.98259735,40.73122025,-73.99568176,40.74248886,N,370
id3355392,1,2016/5/10 2:09,2016/5/10 2:15,1,-73.97579956,40.75606918,-73.98600006,40.76212311,N,365
id0587886,2,2016/5/10 2:10,2016/5/10 2:20,1,-73.98700714,40.72964096,-73.94773102,40.78118896,N,612
id2865983,1,2016/5/10 2:11,2016/5/10 2:19,1,-73.88591766,40.74737549,-73.91429138,40.75688171,N,495
id2933962,2,2016/5/10 2:15,2016/5/10 2:23,2,-73.98202515,40.76930237,-73.96652222,40.80418015,N,459
id0569303,2,2016/5/10 2:16,2016/5/10 2:25,1,-73.98742676,40.72847366,-73.95735931,40.76194382,N,521
id1460180,1,2016/5/10 2:17,2016/5/10 2:38,1,-73.99406433,40.73530579,-73.95650482,40.66673279,N,1267
id2938297,1,2016/5/10 2:17,2016/5/10 2:22,1,-73.99965668,40.73115158,-73.98855591,40.7312088,N,308
id0262050,1,2016/5/10 2:18,2016/5/10 2:24,1,-73.98177338,40.74726868,-73.99051666,40.7563591,N,355
id3272588,2,2016/5/10 2:19,2016/5/10 2:24,5,-73.97389221,40.75442886,-73.96865082,40.75576019,N,260
id2650144,1,2016/5/10 2:21,2016/5/10 2:28,1,-73.94898987,40.78173828,-73.97138977,40.74876022,N,444
